step,loss
1287,0.00037
1288,0.00017
1289,0.00016
1290,0.00018
1291,0.00032
1292,0.00052
1293,0.00032
1294,0.00012
1295,0.00023
1296,0.00013
1297,0.00021
1298,0.00019
1299,0.00188
1300,0.00027
1301,0.00027
1302,0.00026
1303,9e-05
1304,0.00022
1305,0.00037
1306,0.00022
1307,0.00017
1308,0.00028
1309,0.00021
1310,0.00026
1311,0.00022
1312,0.00015
1313,0.00018
1314,0.00029
1315,0.00017
1316,0.00015
1317,0.0001
1318,0.00029
1319,0.00017
1320,0.00017
1321,0.00012
1322,0.00019
1323,0.00013
1324,0.00014
1325,0.0001
1326,0.00035
1327,0.00023
1328,0.00013
1329,0.00022
1330,0.00017
1331,0.00019
1332,0.00025
1333,0.00031
1334,0.00057
1335,0.01308
1336,0.00043
1337,0.00025
1338,9e-05
1339,0.00024
1340,0.00033
1341,0.00016
1342,0.00037
1343,0.00031
1344,0.00026
1345,9e-05
1346,0.00032
1347,0.00015
1348,0.0001
1349,0.00027
1350,6e-05
1351,0.00017
1352,0.00014
1353,0.00019
1354,0.00045
1355,0.00034
1356,0.00019
1357,0.00016
1358,0.00023
1359,0.0007
1360,0.00016
1361,0.00018
1362,0.00019
1363,0.00012
1364,0.0001
1365,0.00013
1366,0.00012
1367,0.00024
1368,0.00035
1369,9e-05
1370,0.00044
1371,0.00048
1372,0.00013
1373,9e-05
1374,0.00019
1375,0.00029
1376,0.00015
1377,0.00032
1378,0.00011
1379,0.00033
1380,0.0001
1381,0.001
1382,0.00012
1383,0.0001
1384,0.00021
1385,0.00011
1386,0.00011
1387,0.00011
1388,0.00022
1389,0.00011
1390,0.00011
1391,0.00023
1392,0.00026
1393,0.00023
1394,0.00039
1395,0.00013
1396,0.00035
1397,0.00012
1398,0.00021
1399,8e-05
1400,0.00015
1401,0.00018
1402,0.00012
1403,0.00027
1404,0.00015
1405,8e-05
1406,0.00016
1407,0.00012
1408,0.00013
1409,0.00015
1410,0.00018
1411,8e-05
1412,0.00012
1413,0.0001
1414,8e-05
1415,0.00032
1416,0.00014
1417,0.00019
1418,0.00014
1419,0.00049
1420,0.00016
1421,0.0001
1422,0.00015
1423,0.00017
1424,0.00027
1425,0.00018
1426,0.00017
1427,0.00056
1428,0.00056
1429,0.00047
1430,0.00012
